order,video_id,topic_category,hook_type,pacing_speed,duration_sec,views,likes,shares,comments,saves,engagement_rate_pct,title,url
288,"7330235179354606849","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Harga dendeng, purchase limit, level kepedasan dan sebab kenapa kita pilih dendeng sebagai produk kedua ada dijelaskan dalam video ni. Jumpa anda jumaat ni! 😄 #MYSuperBrandDayKhairulAming #TikTokShopSuperBrandDayMY  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7330235179354606849"
289,"7329868450283703553","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Ini cara nak simpan, panaskan, dan makan Dendeng Nyet Berapi. Bulan puasa pun dah tak lama ni, jadi dendeng ni perfect untuk dijadikan lauk bersahur. 80,000 paket akan dijual pada hari Jumaat ini, jam 9 malam, live di TikTok Khairulaming 😁 #MYSuperBrandDayKhairulAming #TikTokShopSuperBrandDayMY  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7329868450283703553"
290,"7329492312386456833","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Produk kedua Khairulaming akan dijual secara live pada hari Jumaat (2 Feb) ini pada jam 9 malam eksklusif di TikTok Khairulaming.  Kita telah ambil masa setahun untuk R&D produk kedua ini dan telah memakan modal lebih dari 2 juta ringgit untuk persiapan mesin dan renovation kilang. We hope you will like it, kalau ada kekurangan boleh inform kita untuk penambahbaikan. Jumpa anda di hari launching nanti 😊 created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7329492312386456833"
291,"7321654164851789063","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Dah boleh restock sambal nyet untuk sahur. Makan dengan telur mata dan nasi putih pun dah sedap. Selamat berpuasa guys! 😆 #makanlokal #foodtok #foodfestontiktok #sambalnyet created by Khairulaming with Lux-Inspira’s Marhaban Ya Ramadan","https://www.tiktok.com/@khairulaming/video/7321654164851789063"
292,"7317870826571713794","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Ini resipi hot chocolate pekat yang boleh cicah dengan croissant, termasuk dengan resipi matcha latte dan juga iced lemon tea longan. Semua menggunakan tumbler Montigo yang tengah ramai orang beli kat Malaysia 😁 #foodtok #makanlokal #foodfestontiktok  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7317870826571713794"
293,"7317566300501380353","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Berkenaan dengan isu Sambal Nyet ciplak semalam, kita telah pun mengenal pasti penjual tersebut dan peguam kita telah pun menghantar letter of demand for Infringement of Intellectual Property Rights and Passing Off. Ada lapan tuntutan yang kita telah senaraikan dan jika mereka gagal penuhi kesemua tuntutan tersebut kita akan bawa kes ini ke peringkat seterusnya. Sambal Nyet telah didaftarkan trademark di MyIPO dan telah diluluskan pada tarikh 2 Nov 2021. Saya selalu beri sokongan kepada peniaga kecil tapi berniagalah dengan cara yang beretika dan berhemah. Jangan aniaya orang ramai macam ni created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7317566300501380353"
294,"7315271447922969857","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Finally boleh sebut “new year new me” 🥺🥺. Goodbye 2023 #Hello2024  created by Khairulaming with Paul Russell’s Lil Boo Thang","https://www.tiktok.com/@khairulaming/video/7315271447922969857"
295,"7314945870061948162","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Tahun ni 20kg berat badan turun selepas mulakan misi nak sihat tahun 2023. Alhamdulillah misi tercapai tapi perjalanan masih jauh. Doakan saya istiqamah 🙏🏻🥺 #Hello2024  created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7314945870061948162"
296,"7313797479529598210","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Resipi Tom Yum Goong yang rasa pekat, pedas & creamy. Boleh makan dengan nasi atau mee. Kecur air liurr  😭 #makanlokal #foodtok #foodfestontiktok    created by Khairulaming with Khairulaming’s original sound - Khairulaming","https://www.tiktok.com/@khairulaming/video/7313797479529598210"
297,"7313147161183620354","RESEPI_RAMADAN","CRAVING_SENSORY","RAPID_FIRE",60,0,0,0,0,0,0.0,"Selamat tinggal 2023. Tahniah untuk semua content creators yang bekerja keras tahun ni. Keep it up guys! #Hello2024 #YearOnTikTok2023 @CEO BATU @Aimon Okkotsu @Nynabukater @DJ FUZZ @DJ Mia @Nurnisa Omar @zakwanrahpal @WinniMiao @Zamriz  created by Khairulaming with INST’s Levitating - Instrumental","https://www.tiktok.com/@khairulaming/video/7313147161183620354"
